id,location
1,Corporate Office
2,PABX room
3,Training Room
4,Resistor Office
5,Resistor production
6,Resistor production
7,IT Server Room
8,Workshop & Machine shop
9,Medan Meeting Room
10,Surabaya Meeting Room
11,Yogyakarta Meeting Room
12,Denpasar Meeting Room
13,Jakarta Meeting Room
14,CB & IE Room
15,EM & PED Office
16,Capacitor Production
17,Capacitor Office
18,Capacitor Production
19,QD Laboratory
20,QD Office
21,Calibration/Reliability Room
22,Varistor office
23,Varistor production
24,Logistic office
25,Coil Automotive production PCC
26,Inductor  production
27,Inductor Office
28,Inductor production - PCC
29,LELP Production
30,Power house
